file,class,method,variable,usage
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\Authorizer.java,io.dropwizard.auth.Authorizer,"authorize/2[P,java.lang.String]",principal,0
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\Authorizer.java,io.dropwizard.auth.Authorizer,"authorize/2[P,java.lang.String]",role,0
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\Authorizer.java,io.dropwizard.auth.Authorizer,"authorize/3[P,java.lang.String,ContainerRequestContext]",principal,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\Authorizer.java,io.dropwizard.auth.Authorizer,"authorize/3[P,java.lang.String,ContainerRequestContext]",role,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\Authorizer.java,io.dropwizard.auth.Authorizer,"authorize/3[P,java.lang.String,ContainerRequestContext]",requestContext,0
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\AuthValueFactoryProvider.java,io.dropwizard.auth.AuthValueFactoryProvider,createValueProvider/1[Parameter],parameter,5
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\AuthValueFactoryProvider.java,io.dropwizard.auth.AuthValueFactoryProvider,createValueProvider/1[Parameter],isOptionalPrincipal,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\AuthValueFactoryProvider.java,io.dropwizard.auth.AuthValueFactoryProvider,"AuthValueFactoryProvider/2[MultivaluedParameterExtractorProvider,io.dropwizard.auth.AuthValueFactoryProvider.PrincipalClassProvider<T>]",principalClassProvider,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\AuthValueFactoryProvider.java,io.dropwizard.auth.AuthValueFactoryProvider,"AuthValueFactoryProvider/2[MultivaluedParameterExtractorProvider,io.dropwizard.auth.AuthValueFactoryProvider.PrincipalClassProvider<T>]",mpep,0
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-auth\src\main\java\io\dropwizard\auth\basic\BasicCredentialAuthFilter.java,io.dropwizard.auth.basic.BasicCredentialAuthFilter,getCredentials/1[java.lang.String],password,1
